id,displayName,unitPrefab,maxHealth,critChance,critMultiplier,attackRange,attackDamage,attackInterval,moveSpeed,rotationSpeed,fireAngleTolerance
01,탱크1,,120,0.1,1.5,6,10,1,2,120,3
02,탱크2,,150,0.1,1.5,6,10,1,2,120,3
03,탱크3,,180,0.11,1.5,6.2,13,0.95,2.1,125,3
04,탱크4,,220,0.12,1.5,6.5,16,0.9,2.2,130,3
05,탱크5,,270,0.13,1.6,6.8,20,0.85,2.3,135,3
06,탱크6,,330,0.14,1.6,7,25,0.8,2.4,140,3
07,탱크7,,400,0.15,1.7,7.3,32,0.75,2.5,145,3
08,탱크8,,480,0.16,1.7,7.6,40,0.7,2.6,150,3
09,탱크9,,580,0.18,1.8,8,50,0.65,2.7,155,3
10,탱크10,,700,0.2,2,8.5,65,0.6,2.8,160,3
