id,progressType,title,description,targetAmount,nextTargetAmounts,repeatRequirementAmount,progressAmountPerEvent,rewardCurrency,rewardAmount
player_level,PlayerLevel,지휘관 레벨 달성,지휘관 레벨 {0} 달성,5,,5,1,CoreCrystals,10
enemy_kill,EnemyKill,적 처치,적 {0}마리 처치,10,,10,1,CoreCrystals,10
stage_clear,StageClear,스테이지 도달,스테이지 {0}에 도달,3,,3,1,CoreCrystals,10
weapon_collect,WeaponCollect,무기 수집,무기 {0}개 수집,5,,5,1,CoreCrystals,10
drone_collect,DroneCollect,드론 수집,드론 {0}개 수집,3,,3,1,CoreCrystals,10
boss_clear,BossClear,보스처치,보스 {0}마리 처치,2,,2,1,CoreCrystals,20
boss_difficulty_clear,BossDifficultyClear,보스처치 (고난이도),보스 {0}마리 처치 (어려움 난이도 이상),1,,1,1,CoreCrystals,30
facility_upgrade,FacilityUpgrade,기지 업그레이드,기지 {0}개 업그레이드 완료,6,,6,1,CoreCrystals,10
weapon_upgrade,WeaponUpgrade,무기 강화,무기 강화 {0}회 완료,1,,1,1,CoreCrystals,5
drone_upgrade,DroneUpgrade,드론 강화,드론 강화 {0}회 완료,1,,1,1,CoreCrystals,5
