order,id,bodyText,highlightTargetName,advanceType,eventType,targetAmount,targetId
1,open_player,'레드브리처'에 오신 것을 환영합니다. 시작하기 앞서 무기/드론을 교체하는 방법을 알려드리고자 합니다. 먼저 기체 탭을 터치하세요.,Player_Btn,TargetClicked,None,0,
2,open_player,우측에 주무장으로 표시된 아이콘을 클릭하세요.,Weapon_Image_Button,TargetClicked,None,6,
3,open_player,무기 '포탄'을 선택하세요.,LoadoutOptionButton(Clone),TargetClicked,None,0,
4,open_player,선택 시 '장착하기' 버튼까지 눌러야 정상적으로 장착됩니다.,Equip_Button,TargetClicked,None,0,
5,open_player,"잘하셨습니다! 이제 기채 탭에 대해서 소개하겠습니다. 장착한 무기/드론 스텟은 아래의 패널에 표시합니다. ",Weapon/Drone Infos_BG_Frame,Tap,None,0,
6,open_player,"그 위에 버튼을 통해서 무기/드론 스텟 정보를 서로 번갈아 볼 수 있습니다. ",InfoButtons Group,Tap,None,0,
7,open_player,위에 패널은 플레이어가 탑승 중인 탱크 스탯을 표시하는 구간입니다. 능력치 및 현재 탱크레벨을 확인 할 수 있습니다.,Player nfos_BG_Frame,Tap,None,0,
8,open_player,아래의 화살표 버튼을 통해 보다 더 상세한 정보를 살펴 볼 수 있습니다.,RouteDetailButton,Tap,None,0,
9,open_player,"드론 입니다. 이 병기는 탱크를 엄호하기 위해 만들어졌으며 보조적으로 화력지원을 투사합니다. ",Drone_Image_Button,Tap,None,0,
10,open_player,드론 아이콘을 눌러 살펴보세요.,Drone_Image_Button,TargetClicked,None,0,
11,open_player,"드론 인벤토리입니다. 지금은 드론 1기 밖에 없지만 추후 무기처럼 다양한 종류가 생길 때 같은 방식으로 교채가능합니다. ",Viewport,Tap,None,0,
12,open_player,이제 돌아가기 버튼을 눌러주세요.,ExitButton,TargetClicked,None,0,
13,open_player,플레이어의 능력치 종합해서 표시하는 수치입니다.,PlayerPower_txt,Tap,None,0,
14,open_player,"스킬을 제외한 탱크, 드론, 무기의 수치를 합쳐서 종합 전투력에 표시합니다.",PlayerPower_txt,Tap,None,0,
15,open_player,"이것으로 기체 탭에 대한 설명을 마칩니다. 다음으로 인게임 UI에 대해 소개를 드리겠습니다. ",,Tap,None,0,
16,open_player,기체 탭을 나가시려면 돌아가기 버튼을 눌러주세요.,ExitButton,TargetClicked,None,0,
17,open_player,탱크의 레벨과 내구도(HP)를 표시하는 상태창입니다.,UserStatus_Panel,Tap,None,0,
18,open_player,"내구도가 0이 되면 전차가 파괴되어 3초 후에 자동으로 재배치합니다. ",UserStatus_Panel,Tap,None,0,
19,open_player,플레이어의 성장을 도울 가이드 임무입니다. 요구된 사항 달성 시 재화보상으로 지급됩니다.,GuideMissionBar,Tap,None,0,
20,open_player,"공용화폐인 크레딧입니다. 기지시설, 탱크 등 업그레이드 하는 데 사용합니다.",Credit,Tap,None,0,
21,open_player,"적 처치, 가이드 미션 달성, 정제소에서 수급 등 여러가지 방법을 통해서 획득 가능합니다.",Credit,Tap,None,0,
22,open_player,"희귀한 자원인 크리스탈 코어입니다. 상점을 통해서 무기, 스킬을 뽑을 때 사용합니다.",Core Crystal,Tap,None,0,
23,open_player,보스처치 및 도전과제 완료 시 획득 가능합니다.,Core Crystal,Tap,None,0,
24,open_player,스킬 표시창입니다. 스킬을 소지 시 하단에 아이콘 표시되며 최대 4개까지 사용가능합니다.,Skill Cooldown,Tap,None,0,
25,open_player,쿨타임 타이머로 작동하며 0이 되면 바로 스킬이 발동됩니다.,Skill Cooldown,Tap,None,0,
26,open_player,"스테이지를 표시하는 창입니다.
",Stage_Panel,Tap,None,0,
27,open_player,"단일 스테이지에 여러 라운드를 거치는 방식이며, 모두완료시 스테이지가 올라갑니다.",Stage_Panel,Tap,None,0,
28,open_player,스테이지가 오를수록 더 많은 보상과 새로운 강적들이 나타납니다.,Stage_Panel,Tap,None,0,
29,open_player,보스를 소환할 수 있는 버튼입니다. 버튼 클릭 시 티켓이 소모되며 적은 모두 사라지고 보스와 1:1로 상대합니다.,Boss Btn,Tap,None,0,
30,open_player,이것으로 인게임 UI에 대한 소개를 마치겠습니다. 이제 나만의 탱크를 성장하여 전장을 돌파하세요!,,Tap,None,0,
31,base_popup_intro,기지에 오신 걸 환영합니다. 이곳에서는 자원을 수집하고 시설을 업그레이드할 수 있습니다.,,Tap,None,0,
32,base_popup_intro,먼저 본부부터 안내해드리겠습니다. 사령부를 누르세요.,Command Center,TargetClicked,None,0,
33,base_command_center_intro,모든 기지를 한 눈에 파악할 수 있는 핵심 시설입니다. 사령부 레벨이 오르면 새로운 시설 및 콘텐츠가 해금됩니다.,Panel,Tap,None,0,
34,base_command_center_intro,지금으로썬 일부 기지가 잠금된 상태입니다. 기지를 해금하려면 업그레이드 버튼을 누르세요.,Upgrade_Button,TargetClicked,None,0,
35,base_command_center_intro,이제 돌아가기 버튼을 눌러주세요.,ExitButton_Cmd,TargetClicked,None,0,
36,base_refinery_intro,정제소입니다. 시간이 지날수록 크레딧이 저장됩니다.,Credit Refinery,Tap,None,0,
37,base_refinery_intro,가득 차기 전에 수집해 주세요.,Collection_Button,TargetClicked,None,0,
